acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.959,0.23,501107,0.122,0.921,D,0.167,-20.016,Major,0.047,90.779,0.114,
0.987,0.353,516707,0.0432,0.905,G#,0.155,-22.857,Major,0.0356,65.836,0.0391,
0.985,0.258,337480,0.0486,0.0291,C,0.229,-27.145,Major,0.0498,137.277,0.0476,
0.835,0.332,318667,0.23,4.49E-05,G,0.107,-12.146,Minor,0.0338,99.573,0.215,
0.994,0.283,281160,0.0198,0.921,F,0.0721,-29.544,Minor,0.0466,83.633,0.119,
0.916,0.178,237403,0.288,0.00475,C#,0.0807,-10.965,Major,0.0333,81.866,0.128,
0.66,0.165,230213,0.322,0.76,E,0.0764,-13.731,Minor,0.0462,110.864,0.0787,
0.995,0.473,216707,0.00475,0.928,D,0.0556,-33.954,Minor,0.0754,72.358,0.0703,
0.972,0.15,521507,0.0198,0.901,F#,0.0696,-32.989,Major,0.0458,73.768,0.051,
0.967,0.0812,186773,0.00632,0.0562,D,0.107,-36.329,Minor,0.0499,81.596,0.0366,
0.918,0.135,74400,0.0179,0.687,G#,0.11,-34.134,Major,0.0447,143.091,0.0349,
0.996,0.397,298400,0.0158,0.945,C#,0.0713,-26.831,Major,0.0472,68.004,0.0434,
0.936,0.0813,284000,0.0901,0.839,D,0.423,-25.468,Major,0.0465,62.361,0.0764,
0.000276,0.543,350840,0.771,0.776,F,0.804,-8.855,Major,0.0457,127.038,0.638,
0.984,0.0731,101200,0.0257,0.977,D,0.108,-25.876,Minor,0.0509,64.749,0.0393,
0.915,0.137,244347,0.0355,0.862,D,0.187,-25.793,Minor,0.0394,75.494,0.0339,
0.972,0.237,797000,0.073,0.000148,G#,0.588,-22.285,Major,0.0603,82.068,0.0398,
0.944,0.109,805573,0.0807,0.838,F#,0.108,-28.375,Major,0.0385,84.451,0.0387,
0.97,0.0769,215867,0.0484,0.116,F,0.0825,-26.768,Major,0.0407,77.177,0.0398,
0.972,0.513,77600,0.235,0.91,D,0.112,-18.82,Major,0.0439,84.087,0.376,
0.97,0.271,83507,0.269,0.193,C,0.586,-17.081,Minor,0.0341,145.554,0.38,
0.994,0.377,238800,0.0495,0.925,A,0.0758,-27.116,Major,0.0414,72.021,0.212,
0.000572,0.39,329613,0.825,0.00236,C,0.15,-5.676,Major,0.0412,90.496,0.26,
0.994,0.309,82493,0.0181,0.971,F,0.0719,-35.398,Major,0.0461,136.049,0.12,
0.991,0.515,140573,0.275,0.779,A,0.693,-17.34,Major,0.045,83.247,0.752,
0.986,0.394,158053,0.0336,0.919,E,0.0723,-23.732,Minor,0.0415,66.636,0.0398,
0.944,0.308,156147,0.256,0.931,G,0.615,-15.621,Major,0.0319,49.074,0.254,
0.995,0.408,299920,0.0149,0.916,A,0.0583,-32.293,Major,0.0513,108.118,0.167,
0.993,0.404,71720,0.0262,0.942,F,0.0932,-27.899,Minor,0.055,73.063,0.0549,
0.982,0.587,93000,0.13,0.943,A,0.113,-21.019,Minor,0.037,113.064,0.126,
0.994,0.368,378387,0.00464,0.863,C#,0.0811,-31.293,Major,0.0508,130.109,0.0617,
0.989,0.308,128293,0.0158,0.849,A#,0.109,-25.032,Major,0.0355,75.649,0.156,
0.939,0.474,381173,0.0166,0.0227,C,0.0772,-22.215,Major,0.0483,116.868,0.368,
0.955,0.28,199987,0.219,0.739,A#,0.143,-14.646,Major,0.0423,110.452,0.259,
0.991,0.254,106933,0.203,0.886,G,0.313,-19.116,Minor,0.04,109.666,0.172,
0.996,0.331,108227,0.0233,0.905,B,0.116,-23.579,Major,0.0674,68.929,0.134,
0.98,0.219,573867,0.0329,0.926,E,0.0698,-29.68,Major,0.0394,86.878,0.0385,
0.974,0.176,233067,0.0317,0.718,B,0.353,-24.978,Minor,0.0448,145.834,0.0387,
0.959,0.144,543000,0.00463,0.577,E,0.0713,-31.204,Major,0.0412,82.014,0.0238,
0.974,0.228,715520,0.00744,0.902,F,0.0993,-27.579,Major,0.0351,65.419,0.0338,
0.994,0.395,274787,0.0456,0.873,A#,0.0973,-26.772,Minor,0.0454,116.223,0.185,
0.993,0.16,283333,0.0183,0.184,C,0.174,-24.399,Major,0.0525,71.799,0.153,
0.851,0.149,328573,0.0215,0.00458,A,0.156,-26.044,Minor,0.0396,72.568,0.0385,
0.984,0.279,201133,0.0892,0.948,G#,0.108,-17.352,Major,0.0321,74.301,0.0384,
0.985,0.245,170360,0.0942,0.893,C,0.0631,-20.079,Major,0.0395,71.782,0.0713,
