genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rap,0.369,0.876,142080,0.457,0.000771,C#,0.0929,-10.548,Minor,0.193,124.967,0.417
Rap,0.193,0.795,134069,0.505,4.88e-05,G,0.0643,-7.5,Major,0.0537,102.024,0.439
Rap,0.283,0.886,198857,0.513,0.0,E,0.0611,-12.312,Minor,0.238,104.979,0.375
Rap,0.27,0.709,287400,0.787,0.00114,C#,0.296,-2.377,Major,0.235,75.986,0.607
Rap,0.11,0.66,180480,0.867,0.0,F#,0.0368,-4.285,Minor,0.116,93.033,0.377
Rap,0.0602,0.474,196040,0.741,0.0,F#,0.115,-3.69,Major,0.111,174.1,0.402
Rap,0.049,0.767,177140,0.543,0.0,C#,0.115,-7.881,Minor,0.103,106.029,0.485
Rap,0.248,0.464,345160,0.688,0.000261,C#,0.629,-7.444,Major,0.0549,75.054,0.183
Rap,0.0111,0.727,257987,0.431,0.0166,D,0.506,-12.007,Major,0.395,150.005,0.223
Rap,0.0769,0.762,214246,0.918,0.0,D#,0.0955,-2.787,Major,0.0347,125.998,0.641
Rap,0.0169,0.807,208504,0.571,0.0,D,0.252,-6.937,Major,0.312,139.996,0.0993
Rap,0.337,0.637,199747,0.521,0.00786,C#,0.33,-7.437,Major,0.11,139.963,0.0781
Rap,0.28,0.713,199091,0.598,0.0,B,0.0735,-6.503,Major,0.31,87.998,0.204
Rap,0.284,0.53,238000,0.95,1.01e-05,C,0.211,-3.526,Major,0.0503,146.035,0.733
Rap,0.00264,0.732,182707,0.75,0.0,B,0.109,-6.366,Minor,0.231,155.096,0.401
Rap,0.00864,0.906,194293,0.623,4.19e-06,C#,0.0753,-6.711,Minor,0.303,99.498,0.715
Rap,0.206,0.834,236369,0.659,4.47e-06,D#,0.0982,-8.738,Minor,0.145,131.079,0.0375
